学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540526,林明,109.5,146.6,141.8,,82.5,79.9,82.1,,,,642.4,1
202540127,李敏,113.8,117.1,123.6,,,,,97.8,83.8,80.2,616.3,2
202540129,何静,117.4,147.3,111.4,68.8,83.4,83.5,,,,,611.8,3
202540426,黄娜,140.1,109.7,128.9,,,84.8,83.7,63.1,,,610.3,4
202540425,张勇,132.1,118.9,109.2,,,,89.2,85.3,,75.3,610.0,5
202540124,杨静,115.3,113.7,128.5,78.7,,84.8,,86.5,,,607.5,6
202540323,周军,111.6,142.7,118.7,,81.4,,,,69.0,79.1,602.5,7
202540427,高敏,131.1,134.2,95.1,84.4,80.5,,,,72.9,,598.2,8
202540428,杨军,120.2,116.9,117.4,82.5,,,,,81.7,78.8,597.5,9
202540326,马勇,125.6,116.3,126.0,,80.6,76.0,66.3,,,,590.8,10
202540121,郑敏,111.1,110.7,128.0,,75.0,,,85.6,,74.5,584.9,11
202540123,马娜,111.7,120.9,100.9,81.0,74.3,,94.9,,,,583.7,12
202540528,高伟,110.2,109.9,122.1,,83.8,,,,81.9,74.2,582.1,13
202540324,刘艳,118.2,104.1,131.3,,,76.3,,,72.2,68.7,570.8,14
202540321,郭勇,110.8,106.3,131.1,,62.3,,,79.8,79.0,,569.3,15
202540322,李建,122.4,92.8,129.6,,78.3,70.6,,,,73.0,566.7,16
202540429,吴静,124.3,106.2,119.3,,,70.2,,76.6,68.7,,565.3,17
202540318,吴华,120.5,101.1,112.0,,73.2,,86.4,,,71.3,564.5,18
202540527,王华,103.2,133.3,112.0,,,70.4,,,79.3,65.7,563.9,19
202540325,高芳,123.9,104.3,120.0,,,68.9,,,72.8,71.8,561.7,20
202540515,郑明,108.3,131.1,122.0,,73.7,,,65.8,60.7,,561.6,21
202540128,张艳,94.4,109.0,133.7,,71.3,,74.4,,77.7,,560.5,22
202540122,林伟,102.5,130.7,99.8,72.8,,,,72.6,,80.2,558.6,23
202540525,李艳,104.3,116.2,105.2,,,69.4,,,79.3,83.3,557.7,24
202540219,朱峰,94.7,127.2,124.6,71.8,,,68.8,,70.0,,557.1,25
202540328,杨华,125.0,107.3,93.1,70.9,,77.2,,,80.0,,553.5,26
202540419,胡勇,116.0,95.9,130.7,,,66.8,79.3,,,64.8,553.5,27
202540227,周涛,107.9,109.4,121.0,71.2,78.4,,,62.8,,,550.7,28
202540327,陈芳,107.9,102.8,97.1,,,71.8,100.0,71.0,,,550.6,29
202540225,马芳,112.6,132.0,98.9,67.7,,,,71.6,,67.4,550.2,30
202540228,张芳,115.6,97.9,106.6,69.8,83.9,,,,76.4,,550.2,31
202540229,杨勇,105.2,108.2,114.9,79.9,70.0,,,70.5,,,548.7,32
202540116,张敏,102.4,121.9,113.5,,,72.1,68.7,,,68.2,546.8,33
202540224,周丽,105.5,112.8,99.2,,82.3,,,80.7,66.1,,546.6,34
202540125,刘丽,124.4,119.9,93.9,,,70.3,68.8,,,69.1,546.4,35
202540217,高敏,105.3,116.5,109.0,70.1,68.6,,76.7,,,,546.2,36
202540520,周伟,107.1,108.4,109.4,81.4,,,,62.0,,77.2,545.5,37
202540215,郑华,104.0,130.5,99.4,,,,86.4,,64.9,60.2,545.4,38
202540423,罗杰,127.5,78.0,96.4,79.9,,,76.6,,,79.2,537.6,39
202540420,张华,115.9,110.2,98.9,63.3,,,,82.0,66.3,,536.6,40
