学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540425,刘勇,137.5,142.3,150.0,,,,79.7,98.1,,88.9,696.5,1
202540128,朱刚,125.5,141.8,150.0,,75.9,,92.1,,92.1,,677.4,2
202540323,郭峰,140.2,150.0,132.7,,79.8,,,,76.4,88.7,667.8,3
202540426,何勇,132.4,137.5,117.9,,,97.4,100.0,77.5,,,662.7,4
202540526,林刚,121.4,130.3,149.7,,80.5,90.6,86.0,,,,658.5,5
202540527,罗强,125.6,146.8,125.9,,,86.0,,,93.6,77.7,655.6,6
202540326,高超,134.7,134.7,137.0,,87.8,74.1,86.1,,,,654.4,7
202540121,郭静,125.1,120.5,142.3,,88.4,,,82.3,,85.7,644.3,8
202540217,吴敏,110.4,120.2,145.7,88.2,81.4,,97.0,,,,642.9,9
202540226,何明,146.3,112.7,119.8,,,,,91.1,82.7,87.0,639.6,10
202540325,吴峰,137.1,144.2,126.4,,,69.3,,,84.1,78.4,639.5,11
202540424,高敏,122.4,112.3,138.7,90.8,,86.2,,,,86.8,637.2,12
202540327,林强,123.3,132.1,118.1,,,77.0,84.9,100.0,,,635.4,13
202540127,刘涛,138.7,126.4,119.8,,,,,75.8,85.7,85.9,632.3,14
202540328,刘娜,127.8,116.0,131.7,82.8,,85.4,,,88.2,,631.9,15
202540228,郑芳,132.7,149.0,95.5,81.8,90.7,,,,78.9,,628.6,16
202540429,陈芳,123.5,105.6,141.3,,,78.4,,100.0,79.4,,628.2,17
202540318,张超,133.4,134.4,117.3,,79.2,,88.2,,,74.4,626.9,18
202540229,高涛,131.3,126.8,107.4,86.9,75.1,,,99.0,,,626.5,19
202540129,陈娜,119.5,133.0,124.5,69.8,89.3,88.2,,,,,624.3,20
202540528,罗勇,125.1,111.0,118.3,,87.8,,,,98.3,83.6,624.1,21
202540227,胡敏,120.9,133.4,121.0,81.7,84.0,,,81.2,,,622.2,22
202540322,刘杰,121.1,127.8,133.1,,84.1,78.6,,,,77.1,621.8,23
202540420,刘强,122.7,150.0,126.4,66.6,,,,84.1,71.4,,621.2,24
202540118,张娜,115.9,105.7,144.9,,,,93.6,73.0,88.0,,621.1,25
202540321,陈静,117.1,118.2,147.6,,73.6,,,71.2,91.3,,619.0,26
202540124,李涛,106.6,125.7,125.1,74.8,,88.2,,98.6,,,619.0,27
202540522,高敏,119.8,117.0,118.3,,,86.7,83.0,,93.2,,618.0,28
202540524,马华,128.6,120.5,108.9,87.1,,,86.4,,,85.4,616.9,29
