学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540323,陈强,142.6,150.0,139.9,,88.0,,,,83.1,97.7,701.3,1
202540129,郑明,131.2,150.0,142.4,84.4,91.0,94.7,,,,,693.7,2
202540427,黄艳,150.0,150.0,122.6,95.5,91.1,,,,79.6,,688.8,3
202540425,吴敏,132.6,111.6,150.0,,,,100.0,91.8,,97.2,683.2,4
202540225,何磊,136.1,149.8,136.9,90.8,,,,89.0,,79.0,681.6,5
202540227,周强,138.0,150.0,125.0,76.8,92.3,,,95.9,,,678.0,6
202540325,张丽,129.8,150.0,150.0,,,75.6,,,86.4,86.2,678.0,7
202540522,马军,119.7,145.8,119.9,,,92.6,96.2,,99.8,,674.0,8
202540226,黄刚,150.0,123.2,138.7,,,,,97.6,76.3,85.0,670.8,9
202540128,吴超,130.0,123.0,150.0,,77.1,,100.0,,90.6,,670.7,10
202540328,胡强,135.9,119.2,142.7,85.3,,91.7,,,95.4,,670.2,11
202540228,李芳,128.7,140.0,128.2,80.4,100.0,,,,89.6,,666.9,12
202540222,周华,137.3,141.7,132.3,,,80.3,86.0,,87.7,,665.3,13
202540526,马静,128.2,131.3,150.0,,90.5,97.8,67.2,,,,665.0,14
202540217,马敏,114.6,144.3,148.0,94.7,83.8,,78.6,,,,664.0,15
202540123,郑丽,122.5,126.3,143.3,96.8,78.9,,91.9,,,,659.7,16
202540118,王磊,110.5,109.9,150.0,,,,94.5,100.0,91.3,,656.2,17
202540324,郑霞,150.0,129.7,132.5,,,84.7,,,80.4,78.8,656.1,18
202540518,郭华,118.2,150.0,114.4,93.8,,,96.0,82.3,,,654.7,19
202540329,张芳,129.9,117.1,137.2,100.0,90.7,,,78.8,,,653.7,20
202540426,陈霞,138.4,143.2,107.1,,,93.9,82.4,87.2,,,652.2,21
202540326,林娜,125.0,137.8,135.5,,92.4,81.8,79.6,,,,652.1,22
202540424,孙刚,146.0,130.0,108.3,85.1,,92.9,,,,88.5,650.8,23
202540429,郭军,132.7,109.2,143.3,,,83.1,,100.0,80.6,,648.9,24
202540322,黄静,149.9,123.2,123.2,,87.3,82.1,,,,80.7,646.4,25
202540327,何涛,131.8,141.5,131.2,,,85.0,80.2,76.2,,,645.9,26
202540121,赵静,131.6,143.0,132.0,,79.0,,,83.0,,77.1,645.7,27
202540527,马磊,125.9,112.6,137.3,,,89.5,,,96.5,82.2,644.0,28
202540528,朱刚,131.8,111.1,120.3,,97.9,,,,99.7,82.1,642.9,29
202540122,何勇,124.0,148.2,125.0,79.0,,,,77.9,,88.1,642.2,30
202540215,刘娜,116.4,149.2,139.8,,,,82.8,,82.9,69.3,640.4,31
202540127,李伟,115.9,138.7,134.6,,,,,71.7,89.3,87.0,637.2,32
202540419,吴军,121.3,150.0,139.7,,,70.2,83.7,,,72.2,637.1,33
202540421,陈艳,109.2,143.5,115.9,,,79.3,90.4,96.9,,,635.2,34
202540316,吴强,124.7,123.6,150.0,,70.1,,,84.4,80.6,,633.4,35
202540219,罗娜,124.6,115.3,140.7,78.0,,,96.7,,77.0,,632.3,36
202540223,孙强,121.7,143.6,143.6,,,73.3,72.1,,,77.9,632.2,37
202540520,高明,118.6,117.2,136.8,91.4,,,,81.8,,86.0,631.8,38
202540124,孙峰,122.6,125.8,121.8,83.9,,93.9,,83.2,,,631.2,39
202540224,王勇,123.0,101.0,131.6,,95.9,,,100.0,77.3,,628.8,40
202540523,郑娜,132.0,98.3,115.4,,,83.7,,99.0,100.0,,628.4,41
202540524,黄娜,132.8,122.1,123.3,80.5,,,69.8,,,97.5,626.0,42
202540514,马建,114.1,125.9,121.0,90.6,76.1,,95.8,,,,623.5,43
202540126,何刚,122.9,136.6,118.5,90.3,,74.4,,,79.9,,622.6,44
202540417,马勇,132.1,131.0,130.3,,,75.3,79.8,,,72.7,621.2,45
