学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540425,何军,150.0,150.0,150.0,,,,100.0,100.0,,100.0,750.0,1
202540528,罗娜,149.9,150.0,150.0,,100.0,,,,100.0,91.8,741.7,2
202540424,赵华,141.6,150.0,150.0,100.0,,100.0,,,,100.0,741.6,3
202540426,赵刚,150.0,150.0,145.7,,,100.0,100.0,92.7,,,738.4,4
202540129,杨磊,150.0,150.0,150.0,88.2,100.0,100.0,,,,,738.2,5
202540415,王涛,142.0,150.0,150.0,,100.0,,,,100.0,94.5,736.5,6
202540227,陈静,148.8,149.5,141.4,96.1,100.0,,,100.0,,,735.8,7
202540423,赵刚,150.0,134.1,150.0,100.0,,,100.0,,,100.0,734.1,8
202540228,陈霞,150.0,150.0,142.5,92.3,100.0,,,,95.8,,730.6,9
202540128,罗娜,138.1,150.0,147.9,,93.4,,100.0,,100.0,,729.4,10
202540324,张峰,150.0,136.1,150.0,,,96.7,,,97.8,93.7,724.3,11
202540427,周强,150.0,150.0,138.1,100.0,94.1,,,,90.0,,722.2,12
202540121,郑艳,150.0,150.0,150.0,,95.4,,,80.6,,95.3,721.3,13
202540329,郭杰,149.5,126.7,142.8,100.0,98.9,,,100.0,,,717.9,14
202540521,赵娜,146.2,150.0,134.5,100.0,98.5,88.6,,,,,717.8,15
202540224,赵磊,150.0,150.0,127.6,,100.0,,,100.0,88.7,,716.3,16
202540226,郭刚,150.0,119.5,150.0,,,,,100.0,96.8,100.0,716.3,17
202540326,孙建,144.2,134.3,137.3,,100.0,98.2,100.0,,,,714.0,18
202540323,陈伟,150.0,150.0,134.6,,98.0,,,,83.1,96.4,712.1,19
202540523,杨刚,137.4,150.0,127.9,,,94.9,,98.6,100.0,,708.8,20
202540117,马敏,145.6,150.0,137.9,100.0,,,91.0,,,81.2,705.7,21
202540225,朱强,137.8,150.0,141.5,99.6,,,,91.6,,85.2,705.7,22
202540527,王强,129.1,150.0,148.2,,,90.9,,,100.0,87.2,705.4,23
202540116,王明,140.2,150.0,150.0,,,94.3,79.0,,,90.4,703.9,24
202540124,王杰,129.5,148.6,150.0,84.7,,100.0,,90.9,,,703.7,25
202540516,吴华,141.0,147.8,135.9,,,,92.0,96.4,90.1,,703.2,26
202540328,吴磊,150.0,150.0,124.4,82.0,,94.9,,,100.0,,701.3,27
202540526,胡伟,140.7,141.1,147.2,,100.0,100.0,72.0,,,,701.0,28
202540325,高涛,143.4,135.4,150.0,,,83.8,,,100.0,87.1,699.7,29
202540417,陈建,145.5,150.0,150.0,,,88.2,79.7,,,81.9,695.3,30
202540322,郑刚,150.0,114.7,150.0,,95.0,93.6,,,,91.3,694.6,31
202540221,胡磊,133.2,150.0,150.0,,,,82.7,86.6,,91.8,694.3,32
202540223,杨强,126.4,134.9,150.0,,,91.5,90.9,,,98.5,692.2,33
202540524,罗静,135.6,123.7,147.0,92.0,,,96.1,,,97.0,691.4,34
202540122,李建,131.8,150.0,136.5,94.3,,,,78.3,,100.0,690.9,35
202540126,胡建,143.8,122.4,148.2,100.0,,88.6,,,87.8,,690.8,36
202540522,李静,127.3,150.0,120.4,,,92.8,100.0,,98.3,,688.8,37
202540215,黄勇,140.1,150.0,124.9,,,,100.0,,91.6,82.1,688.7,38
202540318,朱静,142.0,148.1,125.2,,94.5,,92.7,,,85.6,688.1,39
202540123,胡峰,130.8,129.3,150.0,100.0,91.0,,86.1,,,,687.2,40
202540120,张敏,147.8,130.3,121.4,100.0,,,100.0,,87.3,,686.8,41
202540319,孙杰,134.2,134.9,148.1,91.0,,82.7,,,,95.1,686.0,42
202540414,黄娜,149.4,150.0,121.2,,95.8,83.0,,86.1,,,685.5,43
202540229,马艳,146.9,118.1,123.9,100.0,95.4,,,100.0,,,684.3,44
202540222,朱军,132.3,150.0,127.5,,,89.3,89.4,,95.4,,683.9,45
202540429,赵磊,150.0,113.3,146.6,,,93.4,,93.5,86.2,,683.0,46
202540540,赵涛,138.6,135.7,136.5,,,,89.2,94.3,,88.5,682.8,47
202540113,胡建,120.6,150.0,142.9,86.6,93.3,,,,,86.6,680.0,48
202540110,黄军,149.5,132.4,127.4,90.5,,,,92.6,85.6,,678.0,49
202540428,吴超,134.6,122.6,135.5,88.1,,,,,100.0,96.9,677.7,50
202540125,陈建,148.7,149.0,113.9,,,88.2,86.9,,,90.3,677.0,51
202540517,李伟,114.8,112.1,150.0,,,,100.0,100.0,100.0,,676.9,52
202540518,马静,129.2,150.0,126.4,93.1,,,77.4,100.0,,,676.1,53
202540127,周丽,138.1,124.7,131.0,,,,,91.1,94.8,95.9,675.6,54
202540525,张杰,128.4,118.3,134.4,,,92.3,,,100.0,100.0,673.4,55
202540420,林峰,146.0,146.1,148.8,74.0,,,,81.9,75.9,,672.7,56
202540327,吴霞,139.5,127.6,132.0,,,87.8,100.0,82.2,,,669.1,57
202540217,赵艳,118.0,150.0,130.8,94.2,87.2,,87.1,,,,667.3,58
202540216,周军,130.6,150.0,131.3,79.3,,,84.2,,89.5,,664.9,59
202540421,李军,120.2,133.6,138.6,,,88.5,83.4,100.0,,,664.3,60
202540313,孙刚,132.3,131.7,150.0,89.7,,96.4,63.1,,,,663.2,61
202540529,杨涛,130.2,117.1,117.9,,97.6,,100.0,,,100.0,662.8,62
202540520,吴刚,117.4,121.0,135.2,100.0,,,,95.0,,91.2,659.8,63
202540118,陈霞,121.6,127.7,140.0,,,,81.0,94.8,94.7,,659.8,64
202540115,陈静,133.0,123.8,134.3,,,95.8,,91.8,,80.6,659.3,65
202540422,何丽,128.4,105.7,124.6,100.0,,,100.0,100.0,,,658.7,66
202540513,杨敏,142.7,113.1,108.8,,100.0,,,,98.4,95.2,658.2,67
202540220,罗丽,116.1,150.0,114.3,,,,,100.0,95.4,80.8,656.6,68
202540312,李静,150.0,120.2,107.7,,,91.1,,99.7,87.9,,656.6,69
202540514,陈超,104.3,140.5,150.0,91.6,83.1,,83.9,,,,653.4,70
202540515,刘霞,127.9,122.2,133.7,,96.7,,,88.2,83.4,,652.1,71
202540519,孙敏,119.3,128.9,133.4,76.1,,,99.8,,94.2,,651.7,72
202540114,李超,116.2,146.6,141.8,,81.8,87.7,,,77.3,,651.4,73
