学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540528,马刚,150.0,150.0,150.0,,100.0,,,,100.0,97.5,747.5,1
202540326,张艳,143.6,150.0,150.0,,100.0,96.5,100.0,,,,740.1,2
202540122,郭军,147.8,150.0,150.0,100.0,,,,90.7,,100.0,738.5,3
202540229,朱明,149.1,150.0,145.1,100.0,93.7,,,100.0,,,737.9,4
202540121,吴艳,139.0,150.0,150.0,,100.0,,,100.0,,95.8,734.8,5
202540329,孙峰,150.0,141.8,150.0,100.0,100.0,,,91.8,,,733.6,6
202540428,郑静,150.0,150.0,138.3,99.6,,,,,99.1,96.2,733.2,7
202540125,李磊,150.0,150.0,139.2,,,100.0,100.0,,,93.7,732.9,8
202540225,马强,146.8,150.0,142.7,100.0,,,,100.0,,90.3,729.8,9
202540427,刘强,150.0,141.7,149.5,100.0,94.4,,,,92.1,,727.7,10
202540424,郑艳,150.0,134.8,150.0,90.8,,100.0,,,,100.0,725.6,11
202540126,李静,150.0,141.8,146.5,96.3,,96.6,,,93.9,,725.1,12
202540526,高艳,134.2,150.0,150.0,,100.0,100.0,90.4,,,,724.6,13
202540223,黄静,150.0,150.0,142.5,,,94.9,86.5,,,98.2,722.1,14
202540129,林华,150.0,150.0,128.4,92.9,100.0,100.0,,,,,721.3,15
202540529,孙峰,150.0,136.3,150.0,,100.0,,84.0,,,100.0,720.3,16
202540325,罗敏,150.0,150.0,150.0,,,86.1,,,97.5,86.5,720.1,17
202540327,郭勇,145.2,140.1,143.3,,,89.6,100.0,100.0,,,718.2,18
202540227,马伟,148.8,150.0,136.6,83.5,100.0,,,99.1,,,718.0,19
202540218,陈杰,150.0,150.0,143.0,97.0,,93.5,81.4,,,,714.9,20
202540127,马勇,150.0,150.0,126.7,,,,,88.0,100.0,100.0,714.7,21
202540217,赵峰,135.7,150.0,141.7,92.4,94.1,,100.0,,,,713.9,22
202540128,郭强,129.3,150.0,150.0,,93.5,,90.5,,100.0,,713.3,23
202540228,赵建,148.8,150.0,122.4,93.6,100.0,,,,96.9,,711.7,24
202540425,黄建,144.3,150.0,150.0,,,,84.4,82.4,,100.0,711.1,25
202540527,王军,136.8,141.2,140.7,,,98.0,,,100.0,90.4,707.1,26
202540226,陈涛,150.0,142.9,131.2,,,,,100.0,85.9,94.9,704.9,27
202540120,郭霞,139.9,150.0,150.0,100.0,,,83.8,,80.7,,704.4,28
202540113,林丽,145.6,129.3,149.4,87.8,98.7,,,,,93.4,704.2,29
202540123,胡超,144.6,121.5,150.0,100.0,94.9,,93.1,,,,704.1,30
202540319,郑军,150.0,142.7,141.5,86.8,,87.8,,,,95.1,703.9,31
202540421,高伟,128.9,145.6,150.0,,,94.9,92.3,92.1,,,703.8,32
202540322,赵芳,150.0,130.1,145.7,,95.7,97.3,,,,84.5,703.3,33
202540321,罗强,141.0,141.3,150.0,,81.1,,,87.8,100.0,,701.2,34
202540324,黄敏,150.0,126.2,140.1,,,96.6,,,100.0,87.7,700.6,35
202540525,朱敏,128.8,150.0,131.4,,,89.3,,,100.0,100.0,699.5,36
202540328,周丽,142.4,142.2,125.1,87.4,,100.0,,,99.0,,696.1,37
202540426,刘超,141.6,139.8,143.3,,,100.0,79.6,89.7,,,694.0,38
202540429,杨磊,150.0,127.1,150.0,,,93.5,,84.7,87.2,,692.5,39
202540520,高明,124.8,138.9,150.0,96.9,,,,84.5,,97.0,692.1,40
202540514,刘勇,129.8,139.5,144.2,91.1,87.2,,100.0,,,,691.8,41
202540420,刘霞,142.6,145.1,131.2,87.3,,,,97.1,87.3,,690.6,42
202540422,胡强,141.5,140.8,124.2,98.2,,,96.6,88.4,,,689.7,43
202540117,王敏,134.4,150.0,145.4,100.0,,,81.1,,,78.4,689.3,44
202540118,郭勇,126.1,150.0,136.5,,,,92.1,84.0,100.0,,688.7,45
202540515,黄建,139.1,150.0,144.3,,88.7,,,84.4,81.3,,687.8,46
202540220,周明,132.5,148.8,138.1,,,,,86.4,97.4,84.5,687.7,47
202540416,胡明,137.3,141.7,150.0,81.8,97.1,,,,,79.6,687.5,48
