学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540326,何敏,150.0,129.5,146.1,,94.2,85.3,97.2,,,,702.3,1
202540226,朱超,150.0,140.5,150.0,,,,,84.8,83.8,85.5,694.6,2
202540329,周刚,145.3,117.3,145.6,94.7,92.6,,,98.5,,,694.0,3
202540425,马霞,130.7,140.7,150.0,,,,82.0,100.0,,86.4,689.8,4
202540528,高丽,136.9,150.0,135.8,,88.8,,,,97.1,80.0,688.6,5
202540323,孙军,136.4,137.5,150.0,,88.3,,,,80.1,93.3,685.6,6
202540124,赵峰,126.2,147.0,135.6,77.9,,99.3,,98.5,,,684.5,7
202540122,陈霞,130.1,144.0,143.6,90.1,,,,82.2,,94.5,684.5,8
202540128,张芳,114.7,149.8,143.4,,83.3,,100.0,,91.0,,682.2,9
202540227,郭华,150.0,128.2,125.0,83.8,89.1,,,100.0,,,676.1,10
202540129,马杰,129.2,130.8,136.3,81.4,99.4,96.6,,,,,673.7,11
202540424,林超,142.2,117.9,145.2,77.0,,95.7,,,,90.9,668.9,12
202540529,郭涛,143.5,133.3,133.8,,86.4,,74.7,,,97.1,668.8,13
202540423,张芳,130.1,125.3,126.9,90.6,,,92.9,,,97.6,663.4,14
202540325,吴杰,147.3,111.5,150.0,,,79.2,,,87.7,87.2,662.9,15
202540224,马丽,128.2,145.4,115.8,,90.9,,,100.0,79.2,,659.5,16
202540426,罗霞,139.4,150.0,117.5,,,90.2,81.5,80.3,,,658.9,17
202540222,朱磊,137.4,143.2,123.6,,,76.5,80.4,,92.9,,654.0,18
202540328,何建,147.6,121.5,130.5,73.9,,88.6,,,87.7,,649.8,19
202540318,林明,142.8,128.6,118.9,,85.1,,91.9,,,75.9,643.2,20
202540427,何刚,147.8,114.8,110.9,96.7,90.5,,,,81.6,,642.3,21
202540228,郭勇,143.2,129.4,108.8,80.6,93.4,,,,84.8,,640.2,22
202540428,张建,129.4,113.9,125.9,81.1,,,,,94.4,89.0,633.7,23
202540518,孙丽,127.5,111.6,130.2,89.3,,,96.7,77.9,,,633.2,24
202540322,孙静,131.1,118.6,144.0,,85.6,77.2,,,,76.1,632.6,25
202540125,罗建,137.5,150.0,92.8,,,80.6,91.9,,,79.6,632.4,26
202540526,赵涛,106.2,130.5,121.6,,91.3,95.9,86.4,,,,631.9,27
202540121,周伟,124.4,123.0,141.2,,83.2,,,82.7,,76.2,630.7,28
202540419,陈勇,129.3,143.7,139.3,,,74.6,66.8,,,74.5,628.2,29
202540223,吴勇,132.8,139.7,129.7,,,77.3,65.7,,,81.5,626.7,30
202540319,周霞,132.1,147.6,111.9,74.3,,78.0,,,,82.4,626.3,31
202540522,林丽,113.6,137.9,120.0,,,80.7,72.7,,93.7,,618.6,32
202540324,郑峰,142.8,106.2,124.6,,,84.0,,,79.5,80.7,617.8,33
202540217,张超,115.4,143.4,114.4,88.2,79.8,,75.8,,,,617.0,34
202540229,陈杰,135.5,100.4,111.6,98.4,72.2,,,93.5,,,611.6,35
202540514,张军,107.6,140.2,140.2,75.3,76.1,,71.6,,,,611.0,36
202540314,朱杰,116.4,136.1,112.4,79.9,73.0,88.5,,,,,606.3,37
202540116,李峰,124.2,131.6,104.9,,,80.9,83.0,,,81.0,605.6,38
202540524,罗娜,125.5,105.7,116.3,81.9,,,87.3,,,87.2,603.9,39
202540221,高勇,129.1,122.5,120.4,,,,86.1,68.1,,77.0,603.2,40
202540429,孙敏,123.8,100.5,117.9,,,81.0,,92.2,86.1,,601.5,41
202540126,罗丽,123.3,113.2,108.7,89.3,,83.2,,,82.4,,600.1,42
202540127,高峰,119.3,105.9,114.5,,,,,87.5,84.9,85.7,597.8,43
202540418,郭峰,119.1,128.2,119.2,,,69.2,71.4,,,89.0,596.1,44
202540321,孙刚,102.8,107.4,133.5,,73.2,,,93.9,85.0,,595.8,45
202540316,高芳,126.0,115.1,131.8,,70.5,,,75.0,76.6,,595.0,46
202540113,赵涛,112.6,107.1,134.7,80.4,81.9,,,,,75.2,591.9,47
202540225,孙明,119.8,134.0,103.0,84.9,,,,74.1,,75.8,591.6,48
202540519,高芳,98.1,110.6,137.2,73.8,,,85.0,,84.4,,589.1,49
202540110,吴敏,117.3,118.8,129.5,71.4,,,,74.8,76.4,,588.2,50
202540123,何娜,129.4,92.8,119.5,89.8,82.4,,74.2,,,,588.1,51
202540220,王伟,112.4,137.9,113.0,,,,,70.7,83.1,70.9,588.0,52
202540525,郭勇,106.1,127.2,102.2,,,78.1,,,86.5,87.6,587.7,53
202540118,吴伟,108.0,135.1,112.7,,,,67.2,71.9,91.6,,586.5,54
202540420,王华,130.6,113.0,116.9,70.1,,,,83.4,72.5,,586.5,55
202540523,马娜,106.5,131.1,98.8,,,74.5,,85.5,87.4,,583.8,56
202540516,陈丽,133.2,95.1,114.5,,,,64.2,86.5,89.3,,582.8,57
202540521,王刚,118.1,120.1,95.2,87.7,82.2,79.0,,,,,582.3,58
202540313,李芳,120.2,110.4,137.7,67.3,,83.0,62.2,,,,580.8,59
202540520,林建,116.0,101.3,135.9,84.3,,,,60.4,,82.6,580.5,60
202540414,刘磊,120.0,116.9,98.3,,87.9,77.3,,79.1,,,579.5,61
202540320,刘敏,116.2,99.2,133.4,75.6,,,,,75.3,79.6,579.3,62
202540517,林艳,119.0,105.8,111.4,,,,63.4,91.1,88.5,,579.2,63
