学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540326,李敏,145.9,146.4,146.0,,96.8,80.6,79.8,,,,695.5,1
202540226,刘建,140.8,137.7,122.9,,,,,100.0,83.5,86.1,671.0,2
202540217,胡霞,125.8,150.0,135.8,76.1,78.2,,97.9,,,,663.8,3
202540228,林磊,143.5,140.4,116.4,81.0,96.2,,,,78.7,,656.2,4
202540426,郭明,129.7,128.2,129.7,,,90.5,83.8,93.8,,,655.7,5
202540528,杨勇,122.8,139.2,130.5,,91.6,,,,93.8,76.4,654.3,6
202540425,吴丽,139.7,132.0,122.3,,,,97.3,79.9,,83.0,654.2,7
202540526,罗丽,130.2,127.4,129.2,,92.8,94.1,80.1,,,,653.8,8
202540520,刘霞,113.3,131.9,140.0,97.6,,,,80.4,,86.3,649.5,9
202540122,王强,120.1,150.0,130.5,88.7,,,,68.1,,90.7,648.1,10
202540427,吴磊,132.7,141.1,124.4,88.0,81.0,,,,80.3,,647.5,11
202540129,高涛,127.5,133.0,114.7,83.0,90.1,93.1,,,,,641.4,12
202540325,郑刚,143.1,117.5,144.7,,,71.1,,,84.7,72.7,633.8,13
202540225,黄霞,117.2,132.4,127.9,85.7,,,,91.6,,78.4,633.2,14
202540127,周刚,131.1,130.0,109.3,,,,,82.6,92.2,87.9,633.1,15
202540420,高杰,134.0,128.4,116.5,79.9,,,,90.6,77.6,,627.0,16
202540327,郑超,129.9,131.3,121.9,,,78.9,80.0,82.2,,,624.2,17
202540128,林磊,122.2,108.3,141.0,,77.9,,81.6,,92.3,,623.3,18
202540218,何敏,110.4,147.8,112.7,90.5,,79.5,81.8,,,,622.7,19
202540429,杨霞,121.0,126.9,110.9,,,84.6,,98.4,79.6,,621.4,20
202540121,王杰,136.5,121.8,132.4,,85.8,,,66.3,,77.9,620.7,21
202540323,赵磊,118.7,141.7,123.5,,78.3,,,,71.3,87.2,620.7,22
202540525,李涛,118.3,104.9,125.7,,,80.3,,,92.5,98.2,619.9,23
202540116,周刚,122.6,129.4,109.7,,,80.9,94.9,,,79.3,616.8,24
202540227,王霞,144.4,109.1,121.4,75.6,90.0,,,72.5,,,613.0,25
202540424,郭强,131.6,116.6,120.6,78.8,,83.2,,,,81.7,612.5,26
202540529,罗伟,130.0,107.9,100.9,,83.9,,93.7,,,95.8,612.2,27
202540319,周涛,118.3,135.1,129.2,72.4,,74.7,,,,79.4,609.1,28
202540324,刘华,136.3,112.7,129.0,,,77.3,,,77.9,75.0,608.2,29
202540523,王伟,114.9,95.0,129.0,,,80.0,,97.0,90.0,,605.9,30
202540516,高敏,127.2,102.7,125.3,,,,81.9,81.5,87.2,,605.8,31
202540117,杨军,119.7,129.4,119.5,85.6,,,78.3,,,73.0,605.5,32
202540329,黄华,120.4,111.5,118.3,96.1,87.7,,,68.1,,,602.1,33
202540221,高建,123.5,103.5,134.5,,,,80.6,80.7,,77.8,600.6,34
202540125,张超,126.4,121.5,115.6,,,80.6,74.6,,,79.8,598.5,35
202540518,李强,120.4,129.9,118.7,85.2,,,73.9,69.6,,,597.7,36
202540517,郑芳,108.3,98.8,132.9,,,,77.4,90.1,87.6,,595.1,37
202540126,高强,129.5,96.3,124.1,90.2,,79.2,,,75.0,,594.3,38
202540229,赵峰,107.7,130.8,101.0,89.1,69.7,,,95.1,,,593.4,39
202540124,陈芳,113.3,113.2,127.0,71.4,,87.2,,78.5,,,590.6,40
202540419,周刚,111.8,144.0,122.7,,,68.7,72.4,,,69.6,589.2,41
202540118,陈强,114.4,128.4,124.5,,,,76.1,61.0,83.4,,587.8,42
202540328,罗涛,124.0,106.9,119.8,73.5,,82.0,,,81.6,,587.8,43
202540109,何刚,122.3,111.8,116.7,,76.8,76.5,,,,83.1,587.2,44
202540512,刘建,129.9,113.0,132.0,,,,,74.7,69.8,67.4,586.8,45
202540428,黄静,115.8,116.8,110.7,75.4,,,,,82.2,84.6,585.5,46
202540321,刘华,112.2,102.4,130.6,,72.5,,,80.3,87.3,,585.3,47
202540524,杨磊,109.3,131.7,105.5,74.3,,,78.4,,,86.1,585.3,48
202540123,林敏,118.5,96.7,141.5,77.8,74.6,,72.2,,,,581.3,49
202540422,黄军,115.9,98.9,116.7,78.9,,,100.0,70.6,,,581.0,50
202540313,高杰,115.1,121.7,120.3,75.7,,81.2,66.1,,,,580.1,51
202540510,高敏,121.9,112.1,112.6,,73.3,,86.0,73.3,,,579.2,52
202540322,罗华,124.0,103.8,127.0,,75.6,75.4,,,,72.6,578.4,53
202540514,朱刚,101.9,132.5,128.1,72.9,68.1,,73.8,,,,577.3,54
202540216,罗涛,94.9,133.1,130.4,64.2,,,84.5,,69.8,,576.9,55
202540522,杨霞,98.0,134.9,94.5,,,74.5,88.0,,85.7,,575.6,56
202540415,朱艳,108.8,110.4,128.7,,79.1,,,,75.9,70.6,573.5,57
202540120,张丽,129.5,110.8,101.7,82.7,,,85.2,,62.8,,572.7,58
202540223,何娜,118.1,99.5,115.4,,,75.2,77.5,,,78.8,564.5,59
202540316,孙峰,106.8,109.9,127.8,,61.4,,,85.9,72.1,,563.9,60
202540423,杨涛,134.8,90.1,118.5,80.1,,,59.2,,,80.8,563.5,61
202540220,朱军,108.4,113.9,100.8,,,,,92.5,77.9,68.7,562.2,62
202540508,胡军,112.8,134.4,100.4,68.2,,67.5,,,78.8,,562.1,63
202540112,黄军,87.3,119.3,130.8,,79.2,,68.3,,75.0,,559.9,64
202540527,林艳,117.3,104.4,102.1,,,78.1,,,89.1,67.4,558.4,65
202540219,郭刚,106.4,113.0,122.7,64.9,,,81.8,,66.9,,555.7,66
202540113,赵华,112.6,102.4,108.2,74.3,80.9,,,,,77.2,555.6,67
202540314,罗静,109.7,95.7,116.3,75.7,71.2,86.7,,,,,555.3,68
202540222,刘建,112.7,113.0,100.0,,,69.4,74.4,,83.8,,553.3,69
202540437,林强,99.1,132.9,110.4,,77.7,70.4,,62.6,,,553.1,70
202540114,罗明,94.2,120.1,116.9,,73.0,79.3,,,67.4,,550.9,71
202540521,孙勇,106.7,110.0,104.7,75.9,78.6,73.2,,,,,549.1,72
202540224,周芳,107.1,102.9,101.8,,85.6,,,79.3,70.0,,546.7,73
202540213,朱军,95.5,124.8,119.2,,74.8,67.2,,,64.0,,545.5,74
202540320,高霞,122.4,94.0,115.3,67.4,,,,,71.7,73.7,544.5,75
202540110,马磊,113.1,86.4,124.9,70.3,,,,73.7,75.4,,543.8,76
202540417,黄超,116.8,106.8,101.0,,,74.5,76.1,,,68.4,543.6,77
202540421,胡超,99.0,93.4,120.9,,,72.4,80.3,75.6,,,541.6,78
202540215,何霞,105.0,118.6,112.3,,,,67.1,,71.7,66.7,541.4,79
202540411,陈建,92.4,107.6,122.1,,,,,71.9,76.1,70.7,540.8,80
202540540,朱超,116.2,93.4,101.1,,,,76.3,77.3,,76.4,540.7,81
202540111,吴霞,94.5,111.3,100.0,,,,77.9,,75.7,77.4,536.8,82
202540115,郑勇,114.8,103.6,106.8,,,76.0,,66.6,,66.7,534.5,83
202540515,吴强,100.5,129.2,98.2,,77.2,,,66.4,63.0,,534.5,84
202540312,王敏,105.8,99.0,87.5,,,75.8,,87.3,77.5,,532.9,85
202540318,王明,112.3,107.6,97.1,,80.1,,66.4,,,67.6,531.1,86
202540336,马华,111.4,133.8,89.1,,,62.3,60.5,,73.4,,530.5,87
202540507,罗娜,95.3,116.7,111.7,,,66.1,64.6,75.5,,,529.9,88
202540418,郑磊,107.3,109.2,99.3,,,66.9,60.9,,,84.5,528.1,89
202540340,胡涛,120.7,77.7,112.7,,83.3,68.2,,,65.5,,528.1,90
202540240,林峰,101.7,100.5,122.3,,76.0,,,,63.3,63.7,527.5,91
202540414,马勇,119.9,91.4,95.8,,81.7,73.1,,64.2,,,526.1,92
202540438,李磊,110.9,108.2,91.0,79.1,,,61.4,,75.3,,525.9,93
202540440,王静,124.4,80.4,101.5,,77.3,,,,72.3,69.7,525.6,94
202540511,孙建,115.9,79.4,121.1,63.7,,,57.4,88.0,,,525.5,95
202540308,林明,115.4,93.6,119.9,63.4,,,,65.4,66.6,,524.3,96
202540119,赵磊,103.0,114.7,97.7,65.8,68.8,,,72.8,,,522.8,97
202540519,郑强,101.2,100.6,124.8,64.3,,,58.6,,72.9,,522.4,98
202540211,王丽,106.4,119.0,89.8,,,,56.8,82.2,66.3,,520.5,99
202540439,马强,104.9,106.2,108.7,,,,62.3,,61.4,75.9,519.4,100
202540210,朱峰,99.3,117.8,102.6,,72.7,,,63.8,62.2,,518.4,101
202540536,杨丽,99.4,95.1,119.7,60.7,73.9,68.6,,,,,517.4,102
202540412,王强,112.8,98.6,90.4,,81.7,,65.4,67.2,,,516.1,103
202540534,黄杰,105.3,100.9,116.5,,,58.3,64.5,,69.9,,515.4,104
202540513,郑超,94.8,101.7,90.2,,75.5,,,,74.7,76.4,513.3,105
202540339,李建,85.7,88.4,117.1,71.4,,,,76.4,73.8,,512.8,106
202540208,张华,89.0,106.4,96.5,61.2,79.8,,,,,79.6,512.5,107
202540334,陈丽,102.8,86.0,108.1,,,73.0,,66.2,76.2,,512.3,108
202540236,何超,97.7,97.3,109.2,,,64.4,,69.9,72.7,,511.2,109
202540139,林艳,105.0,117.2,108.1,,57.9,,65.3,,,57.2,510.7,110
202540537,高超,102.9,105.2,91.7,60.4,,,86.8,,,63.7,510.7,111
202540134,朱伟,104.9,86.1,115.4,,,73.3,,70.2,,60.5,510.4,112
202540416,罗芳,102.5,84.4,115.6,60.5,80.4,,,,,65.4,508.8,113
202540409,孙娜,94.3,100.3,97.3,,80.7,,61.7,73.4,,,507.7,114
202540238,马华,95.1,119.2,103.1,63.3,,63.9,60.9,,,,505.5,115
202540304,林勇,92.7,106.2,102.2,,70.3,,62.7,,67.9,,502.0,116
202540102,王刚,101.9,120.9,95.1,63.5,62.6,,,,57.3,,501.3,117
202540413,黄建,98.4,99.1,95.4,63.1,,68.6,,,75.9,,500.5,118
202540212,陈峰,85.6,107.7,94.1,65.8,,68.8,,76.4,,,498.4,119
202540307,罗芳,93.0,96.9,110.9,,65.0,70.8,,,60.2,,496.8,120
202540535,罗伟,90.1,118.2,86.3,,,70.4,,66.4,63.5,,494.9,121
